date,id,charter_type,name_legal,name,org_type,fed_district_code,city,country,state,fed_regulator2,lei,parent_id
20171231.0,442806.0,200.0,FIRST IPSWICH BANK,FIRST IPSWICH BK,1.0,1.0,IPSWICH,UNITED STATES,MA,FRS,549300CB2K9NG8MMWO68,2631510.0
20171231.0,443148.0,200.0,"BIPPUS STATE BANK, THE",BIPPUS ST BK,1.0,7.0,HUNTINGTON,UNITED STATES,IN,FDIC,0,1210217.0
20171231.0,443205.0,300.0,UNION SAVINGS BANK,UNION SVG BK,6.0,2.0,DANBURY,UNITED STATES,CT,FDIC,0,443205.0
20171231.0,443353.0,200.0,UNITY BANK,UNITY BK,1.0,9.0,AUGUSTA,UNITED STATES,WI,FDIC,549300K1K5K5L0W6QR97,1122048.0
20171231.0,443625.0,200.0,"OTTOVILLE BANK COMPANY, THE",OTTOVILLE BK CO,1.0,4.0,OTTOVILLE,UNITED STATES,OH,FRS,0,443625.0
20171231.0,443634.0,200.0,SCOTT STATE BANK,SCOTT ST BK,1.0,7.0,BETHANY,UNITED STATES,IL,FDIC,549300VJ2DUIQKBO9U08,1206425.0
20171231.0,444350.0,200.0,FIRST TEXAS BANK,FIRST TX BK,1.0,11.0,GEORGETOWN,UNITED STATES,TX,FDIC,0,1100813.0
20171231.0,444471.0,300.0,FOUNDATION BANK,FOUNDATION BK,1.0,4.0,CINCINNATI,UNITED STATES,OH,OCC,0,4152493.0
20171231.0,444556.0,200.0,POINTS WEST COMMUNITY BANK,POINTS WEST CMNTY BK,1.0,10.0,WINDSOR,UNITED STATES,CO,FDIC,0,1051081.0
20171231.0,444677.0,300.0,"BLACK MOUNTAIN SAVINGS BANK, SSB",BLACK MTN SVG BK SSB,6.0,5.0,BLACK MOUNTAIN,UNITED STATES,NC,FDIC,0,444677.0
20171231.0,444819.0,0.0,NEW YORK BRANCH,BANK TOK-MIT UFJ NY BR,0.0,0.0,NEW YORK,UNITED STATES,NY,OCC,0,444819.0
20171231.0,444958.0,200.0,DAIRYLAND STATE BANK,DAIRYLAND ST BK,1.0,9.0,BRUCE,UNITED STATES,WI,FDIC,5493002U4K86EKQ2ZZ61,2121543.0
20171231.0,445674.0,310.0,PIONEER FEDERAL SAVINGS & LOAN ASSOCIATION,PIONEER FS&LA,6.0,9.0,DEER LODGE,UNITED STATES,MT,OCC,0,445674.0
20171231.0,445777.0,310.0,WATCH HILL BANK,WATCH HILL BK,6.0,4.0,CINCINNATI,UNITED STATES,OH,FDIC,0,4807720.0
20171231.0,445852.0,200.0,WESTERN BANK OF WOLF POINT,WESTERN BK OF WOLF POINT,1.0,9.0,WOLF POINT,UNITED STATES,MT,FRS,0,1126943.0
20171231.0,445955.0,200.0,"FIRST NATIONAL BANK OF GILMER, THE",FIRST NB,1.0,11.0,GILMER,UNITED STATES,TX,OCC,254900CBU2F2TON68T25,1246515.0
20171231.0,446130.0,200.0,FARMERS AND MERCHANTS BANK,FARMERS & MRCH BK,1.0,6.0,LAFAYETTE,UNITED STATES,AL,FDIC,0,1086485.0
20171231.0,446149.0,200.0,"PEOPLES BANK, THE",PEOPLES BK,1.0,8.0,MARION,UNITED STATES,KY,FRS,0,2574886.0
20171231.0,446176.0,310.0,FIDELITY FEDERAL SAVINGS AND LOAN ASSOCIATION OF DELAWARE,FIDELITY FS&LA OF DE,1.0,4.0,DELAWARE,UNITED STATES,OH,OCC,0,4253000.0
20171231.0,446877.0,300.0,MCHENRY SAVINGS BANK,MCHENRY SVG BK,1.0,7.0,MCHENRY,UNITED STATES,IL,FDIC,549300BST16INX89WU46,3866878.0
20171231.0,447070.0,300.0,HOYNE SAVINGS BANK,HOYNE SVGS BK,1.0,7.0,CHICAGO,UNITED STATES,IL,FDIC,549300B92DSVIKGP5T53,3293223.0
20171231.0,447100.0,300.0,CORNERSTONE BANK,CORNERSTONE BK,1.0,1.0,SPENCER,UNITED STATES,MA,FRS,5493005DJAOTPGS83Z81,3547010.0
20171231.0,447557.0,200.0,CITIZENS STATE BANK - LA CROSSE,CITIZENS ST BK - LA CROSSE,1.0,9.0,LA CROSSE,UNITED STATES,WI,FDIC,5493008L7BNNEPSS6V79,1123782.0
20171231.0,447874.0,200.0,ISLANDERS BANK,ISLANDERS BK,1.0,12.0,FRIDAY HARBOR,UNITED STATES,WA,FDIC,0,2126977.0
20171231.0,448040.0,200.0,OXFORD BANK,OXFORD BK,1.0,7.0,OXFORD,UNITED STATES,MI,FDIC,5493000VWAG47L29O356,1249383.0
20171231.0,448554.0,200.0,SAGE CAPITAL BANK,SAGE CAP BK,1.0,11.0,GONZALES,UNITED STATES,TX,FDIC,0,2536642.0
