source,id,lender_TopName,Match_Type,highest_parent_id,RSSD,CU_NAME
1.0,2751388,SOMERSET HILLS BANK,No Match,,,
3.0,2762973,PACIFIC CONTINENTAL CORP,No Match,,,
1.0,2777650,METLIFE BANK NA,No Match,,,
1.0,2784920,1ST CONSTITUTION BANCORP,BHC,,,
1.0,2816474,CENTRIX B&TC,No Match,,,
1.0,2833891,EMPRESAS JUAN YARUR SPA,No Match,,,
1.0,2851653,FNB BC,BHC,,,
1.0,2900261,HANMI FINANCIAL CORPORATION,BHC,,,
1.0,290490,WINGS FINANCIAL CREDIT UNION,Credit Union,,290490.0,WINGS FINANCIAL
1.0,2931331,FARMERS AND MERCHANTS BANCSHARES INC,BHC,,,
1.0,2937100,CONNECTICUT MUTUAL HOLDING COMPANY,BHC,,,
2.0,295981,WRIGHT PATMAN CONGRESSIONAL FEDERAL CREDIT UNION,Credit Union,,295981.0,WRIGHT PATMAN CONGRESSIONAL
3.0,2961879,HOPE BANCORP INC,BHC,,,
3.0,2976396,SIERRA BANCORP,BHC,,,
1.0,2980209,BARCLAYS BANK DELAWARE,Call_Subsidiary,5006575,,
1.0,3010288,C B & T BANCSHARES INC,BHC,,,
1.0,3016338,GEORGIA BANKING COMPANY INC,BHC,,,
3.0,3025385,NORTHRIM BC,BHC,,,
1.0,3035227,JSA FAMILY LIMITED PARTNERSHIP,BHC,,,
1.0,3063622,STIFEL FINANCIAL CORP,BHC,,,
3.0,306681,MARKET USA FEDERAL CREDIT UNION,Credit Union,,306681.0,MARKET USA
1.0,307697,GUARDIANS CREDIT UNION,Credit Union,,307697.0,GUARDIANS
1.0,3083291,STERLING BANCORP,BHC,,,
1.0,309570,1ST MARINER BANK,Call_Parent,,,
1.0,3109904,ACCESS NATIONAL CORPORATION,BHC,,,
3.0,3117329,PREMIER CMRL BC,BHC,,,
1.0,312299,COMMUNITY ALLIANCE CREDIT UNION,No Match,,,
1.0,3140288,INDEPENDENT BANK GROUP INC,BHC,,,
1.0,3146150,US CENTURY BANK,Call_Parent,,,
3.0,3149012,BILTMORE BK OF ARIZONA,No Match,,,
1.0,3153130,BANC OF CALIFORNIA INC,BHC,,,
1.0,3153242,CLAYTON HC,BHC,,,
3.0,3188860,CALWEST BC,BHC,,,
1.0,3211601,MVB FINANCIAL CORP,BHC,,,
1.0,3221217,DCB FC,No Match,,,
1.0,3223828,FLORIDA CAPITAL GROUP INC,BHC,,,
1.0,3233126,TRIUMPH BANCORP INC,BHC,,,
1.0,3242838,REGIONS FINANCIAL CORPORATION,BHC,,,
1.0,324591,BEACON COMMUNITY CREDIT UNION,Credit Union,,324591.0,BEACON COMMUNITY
1.0,3248513,WILSHIRE BC,No Match,,,
1.0,3249109,FIRST TRUST FINANCIAL CORP,BHC,,,
1.0,3253825,LAKEVIEW BANCORPORATION INC,BHC,,,
