source,id,lender_TopName
1.0,f328,MAIN STREET BANK
1.0,f329,MAINE SAV OWNERS
1.0,f33,AMERICAN SOUTHWEST
1.0,f330,MAINSTAY
1.0,f331,MAINSTAY FINANCIAL SERVICES
1.0,f332,MARATHON SECURED PRIVATE STRATEGIES MASTER FUND II B LP
1.0,f333,MARQUIS
3.0,f334,MB FINANCIAL
3.0,f335,MBANK
1.0,f336,MBI
1.0,f337,MBMS
3.0,f338,MC&H
1.0,f339,MEMBER FOCUS CU
1.0,f34,AMERICAN SOUTHWEST MORTGAGE
1.0,f340,MEMBERS CHOICE CREDIT UNION
1.0,f341,MERCANTILE
1.0,f342,MERCHANTS BANK
1.0,f343,MERIDIAN BANK
1.0,f344,METASOUTH
1.0,f345,MEZZANINE FINANCING
1.0,f346,MICHELLE BURIDTT
1.0,f347,MID ATLANTIC CORPORATE FCU
1.0,f3474237,CREDIGY USA CORP
1.0,f348,MID ATLANTIC FCU
1.0,f349,MIDAMERICA
1.0,f35,AMERIFIRST
1.0,f350,MIDLAND AMERICAN CAPITAL CORPORATION
1.0,f351,MIDLAND BANK
1.0,f352,MIDWEST BANK
1.0,f353,MIDWEST LOAN SOLUTIONS
1.0,f354,MISSOURI BANK AND TRUST
1.0,f355,MJB
1.0,f356,MM BANC OF CALIFORNIA
1.0,f357,MONITEX FINANCIAL
1.0,f358,MONROE BANK AND TRUST
3.0,f359,MONTGOMERY COUNTY FCU
1.0,f36,AMHERST HOLDINGS LLC
1.0,f360,MORTGAGE LIQUIDITY SOLUTIONS
1.0,f361,MORTGAGE OPPORTUNITY GROUP INC
1.0,f362,MOTOR CITY COOP CU
1.0,f363,MS
1.0,f364,MS MARINE HOLDINGS
1.0,f365,MT BANK
2.0,f366,MT DEBT
1.0,f367,MWST
1.0,f368,MY LOAN IS YOUR LOAN LLC
1.0,f369,MYUSA
1.0,f37,ANDIGO
1.0,f371,NAC TRUST
1.0,f372,NAME OF PROVIDER ALIVIO HOLDINGS LLC
1.0,f373,NANCY CATON
1.0,f374,NATALY ROSAMILIA
1.0,f375,NATIONAL BANK
1.0,f376,NATIONAL BANK HOLDINGS CORPORATION
1.0,f377,NATIONAL CITY
1.0,f378,NATIONAL COOPERATIVE BANKS
1.0,f379,NATIONAL FOUNDERS LP
1.0,f38,AOL FCU
1.0,f380,NATIONS DIRECT
2.0,f381,NAUGATUCK VALLEY SB
1.0,f382,NCB BANK
1.0,f383,NE PA COMMUNITY FCU
1.0,f384,NEARWATER SECURITIES
1.0,f385,NEFCU
1.0,f387,NEXTWAVE ENTERPRISES
1.0,f388,NICKLAUS OF FLORIDA INC
3.0,f39,AP CAPITAL
1.0,f390,NJA
1.0,f391,NJK INVESTMENTS
3.0,f392,NOIC FUNDING COMPANY LLC
1.0,f393,NOS
1.0,f3935523,NATIONSTAR MORTGAGE
1.0,f394,NOS OF CREDIT
1.0,f395,NOT APPLICABLE
1.0,f396,NSM
1.0,f397,NVR INC
1.0,f398,NVSL
1.0,f399,NWCC LLC
3.0,f399898,MIDWEST COMMUNITY CREDIT UNION
1.0,f4,9626 FLOWER ST
3.0,f40,APF
1.0,f400,O
1.0,f401,OAKWOOD BANK
1.0,f402,OLD SECOND BANK
3.0,f403,ON DECK CAPITAL
1.0,f404,ONE
1.0,f405,ONE REVERSE
3.0,f406,ONE WEST BANK
1.0,f407,ONSLOW
1.0,f408,PACIFIC GROUP FINANCIAL
1.0,f409,PACTRUST BANK
1.0,f41,ARC
1.0,f410,PALM HARBOR HOMES INC
3.0,f411,PARAGON OUTCOMES
1.0,f412,PARAMOUNT RESIDENTIAL MORGAGE
1.0,f413,PARK COMMUNITY CREDIT UNION
1.0,f414,PARTNER CREDIT UNIONS
1.0,f415,PAUL BALTRUN
1.0,f4158365,AMHERST PIERPONT SECURITIES LLC
1.0,f416,PAVAN AND HARI AGARWAL
1.0,f417,PCL
1.0,f418,PDCU
1.0,f4182799,"BEST MORTGAGE, INC."
3.0,f419,PECIFIC PREMIER BANK
1.0,f42,ARCA NATIONAL BANK
1.0,f420,PENFEDERAL
3.0,f4201092,WESTERN BRIDGE CORPORATE FEDERAL CREDIT UNION
1.0,f421,PEOPLE
1.0,f422,PEOPLE FINANCIAL BENEFITS LLC
1.0,f423,PEOPLE SOUTH COUNTY
2.0,f424,PEOPLE'S BANK
1.0,f425,PEOPLE'S BANKS
1.0,f4256926,ONEMAIN MORTGAGE SERVICES INC
1.0,f426,PEOPLE'S CAPITAL BANK
1.0,f427,PEOPLE'S SOUTH BANK
1.0,f428,PEOPLES BANK
1.0,f429,PEOPLES NATIONAL BANK
1.0,f43,ARCH
1.0,f430,PEOPLES REPUBLIC
3.0,f4306223,ONEMAIN FINANCIAL OF WASHINGTON INC
1.0,f431,PEOPLES STATE BANK
3.0,f432,PERSHING LLC
1.0,f433,PFLOANS
1.0,f433390,EASTPOINTE COMMUNITY CREDIT UNION
3.0,f434,PG COMMUNITY FCU
1.0,f4348447,ALLOYA CORPORATE FEDERAL CREDIT UNION
1.0,f435,PIERPONT FINANCIAL
1.0,f436,PINNACLE BANK
1.0,f437,PINNACLE ONE
3.0,f438,PLATINUM PRIME
3.0,f439,PPB
3.0,f44,ARCHOME
1.0,f440,PPPLF
1.0,f441,PREFERRED BANK
3.0,f442,PREMIER PACIFIC BANK
1.0,f443,PRIVATE
1.0,f443595,NEW HORIZON CREDIT UNION
1.0,f444,PRIVATE EQUITY
1.0,f445,PROFESSIONAL MORTGAGE ALLIANCE LLC
3.0,f446,PROMISE
1.0,f447,"PROVIDENT BANK, THE"
1.0,f448,PRUDENTIAL
1.0,f449,PULTEGROUP INC
3.0,f45,ARCLIGHT FINANCIAL LLC
1.0,f450,PURCHASE CLEARING
1.0,f451,QUANTA
3.0,f452,QUICKSALE
1.0,f453,R DAVIS
1.0,f454,RASBORA LLC
3.0,f455,RCAP SECURITIES INC
3.0,f456,REMIC 2010 3 SECURITY
1.0,f457,RESIDENTIAL ACCEPTANCE CORP
1.0,f458,RESIDENTIAL CREDIT OPPORTUNITIES II LLC
1.0,f459,REVERSE MORTGAGE FUNDING
3.0,f46,ARCLINE LENDING
1.0,f460,REVOLVING CREDIT
1.0,f461,RFC
1.0,f4611413,"BEACH POINT CAPITAL MANAGEMENT, LP"
1.0,f462,RKT HOLDINGS LLC
3.0,f463,RMK
1.0,f464,ROCK HOLDINGS INC
1.0,f465,ROCKET COMPANIES INC
1.0,f466,ROCKLAND TRUST
3.0,f467,ROOSEVELT MANAGEMENT COMPANY LLC
1.0,f4674977,NOMURA FINANCIAL HOLDING AMERICA LLC
3.0,f468,ROSELAND BANK
3.0,f469,ROSELAND LENDERS
3.0,f47,ARES CAPITAL CORPORATION
3.0,f471,RTI LLC
1.0,f471990,CITY AND COUNTY EMPLOYEES FEDERAL CREDIT UNION
1.0,f472,S AND T
3.0,f473,SACHEM MANOR CO INVEST
3.0,f474,SAND CAPITAL GROUP
1.0,f475,SBA LOAN
1.0,f476,SCOTIA BANK
1.0,f477,SEACOAST BANK
1.0,f478,SECOND NATIONAL BANK
1.0,f479,SECURITIES
3.0,f48,ARIZONA BANK AND TRUST
1.0,f480,SECURITY NATIONAL LIFE INSURANCE COMPANY
1.0,f481,SECURITY STATE BANK
1.0,f482,SERVICELINK HOLDINGS LLC
1.0,f483,SETPOINT
1.0,f484,SFI FUNDING CA LLC
3.0,f4849494,ONEMAIN FINANCIAL GROUP LLC
3.0,f485,SHANNON FUNDING LLC
1.0,f486,SHAP 2018 1 LLC
1.0,f486248,FAYETTE COUNTY BANK
1.0,f487,SHARE CREDIT UNION
1.0,f488,SHELLPOINT PARTNERS
1.0,f489,SHIRLEY NEARY
1.0,f49,ARTHUR TAIT
3.0,f490,SIGNATURE BANK
1.0,f491,SNB
3.0,f492,SNLIC
1.0,f493,SONNY JEUNG
1.0,f494,SOUTH STREET
2.0,f495,SOUTHERN BANCORP
1.0,f496,SOUTHERN STAR BANK
1.0,f497,SOUTHLAND EQUITIES
1.0,f498,SOUTHWEST
1.0,f499,SP FUNDING
1.0,f5,AAA
1.0,f50,ASAP
3.0,f500,SPARTAN FINANCIAL PARTNERS
1.0,f501,SPENCER COLSON
3.0,f502,SPFC
3.0,f503,SPRINGLEAF FINANCIAL SERVICES INC
1.0,f5034792,MIZUHO BANK (USA)
1.0,f504,SPROUT HOLDINGS LLC FKA SPROUT MORTGAGE LLC
3.0,f506,STAR BANK
1.0,f507,STATE BANK
1.0,f508,STATION PLACE
3.0,f509,STEARNS LENDING LLC
3.0,f51,ASSET 1 (AFFILIATE)
3.0,f510,STEVE WACO
1.0,f511,STOCKHOLDER LOAN
1.0,f512,STONEGATE MORTGAGE
1.0,f5121076,BLACK RIVER TRUST
1.0,f5121106,GRAND OAK TRUST
2.0,f513,SUN INITIATIVE
1.0,f514,SUNCOAST BANK
3.0,f515,SUNWEST VIA TEXAS CAPITAL
3.0,f516,SUNWEST/TEXAS CAPITAL
1.0,f517,SVP LENDING
3.0,f518,SYMMETRY
1.0,f519,"Sun West Financial Services International, Inc."
1.0,f52,ATHENE APOLLO
1.0,f520,T BANK
1.0,f521,TALLAHASSEE STATE BANK
1.0,f522,TAMPA HEIGHTS
3.0,f5225143,SUSA FINANCIAL INC DBA FIRST FUNDING INC
1.0,f523,TEAMSTERS CREDIT UNION
1.0,f524,TEXAS
3.0,f524373,HUD FEDERAL CREDIT UNION
3.0,f525,TEXAS BANK
1.0,f526,TFP INTERNATIONAL INC
1.0,f527,TFS INC
1.0,f528,THE BANK OF TAMPA
1.0,f529,THE BRAND BANKING COMPANY
1.0,f53,AVLIS PARTNERS
2.0,f530,THE COOPERATIVE BANK
1.0,f531,THE DISTRICT
1.0,f532,THE HOLDING COMPANY OF THE VILLAGES
1.0,f533,THE HOME DEPOT
2.0,f5334399,WEST ISLAND TRUST
1.0,f534,THE VILLAGES HOLDING CO
1.0,f535,THE Z GROUP LLC
1.0,f536,THEODORA FAMILY TRUST
1.0,f537,TIPTREE DIRECT HOLDINGS LLC
1.0,f538,TORO SECURITIES
1.0,f539,TOURMALET MATAWIN FUND
1.0,f54,AZTEC GROUP
1.0,f540,TOWNE MORTGAGE COMPANY
1.0,f541,TRADE FINANCE SOLUTIONS INC
1.0,f542,TRADITIONS BANK
1.0,f543,TRUST BANK
1.0,f544,U S TREASURY
1.0,f545,UNIFIED COMMUNITIES FEDERAL CREDIT UNION
3.0,f546,UNION BANK
1.0,f547,UNION BANK AND TRUST
3.0,f548,UNION BANK OF CALIFORNIA
1.0,f549,UNION BANK OF SWITZERLAND
1.0,f55,BANC CENTRAL
1.0,f550,UNION FUNDING
1.0,f551,UNITED BANK
3.0,f552,UNITED MISSOURI BANK
1.0,f553,UNITED WHOLESALE MORTGAGE
1.0,f554,UNITED/RESX
1.0,f555,UNIVERSITY BANK DBA MLS CAPITAL
1.0,f556,UNSECURED DEBT
3.0,f557,UNTIED MORGAGE
1.0,f558,URBAN BANK & TRUST
1.0,f5581586,"DUNCAN WILLIAMS, INC."
1.0,f559,URSUS
3.0,f56,BANK
1.0,f560,US TREASURY
1.0,f561,US TREASURY BOND
1.0,f562,USA AND GBC
1.0,f563,VALLEY CAPITAL INVESTMENTS
1.0,f564,VARIOUS CREDIT UNIONS
3.0,f565,VERISTONE FUND I LLC FKA LIBERTY CAPITAL REAL ESTATE OPPORTUNITY FUND II LLC
1.0,f566,VISA
1.0,f567,VISION BANK
3.0,f568,VLIS LENDING
1.0,f569,VNB
1.0,f57,BANK OF NC
1.0,f570,VP
1.0,f571,VPB TNBFSBMERIT
2.0,f572,VRM LENDING INC
1.0,f573,WAKEFIELD
1.0,f574,WALLACE CAPITAL GROUP
1.0,f575,WALTER CROSBY
1.0,f576,WAREHOUSE LENDING GROUP
1.0,f577,WATSON REALTY CORP
1.0,f578,WAYNE WESTLAND FCU
1.0,f579,WE DO HAVE CREDITS
1.0,f58,BANK OF SCOTTLAND
1.0,f580,WEI
1.0,f581,WEI/ARCH
1.0,f582,WESTAR CORPORATION
1.0,f583,WESTERN AGENCY ONLY
1.0,f584,WESTERN BANK
1.0,f585,WESTERN FINANCIAL BANK
1.0,f586,WESTSTAR MORTGAGE CORP
1.0,f587,WHEELERSG
3.0,f588,WHEREHOUSE
1.0,f589,WINDSOR CAPITAL
1.0,f589158,GREAT PLAINS BANK
1.0,f59,BANK OF TENNESSEE
1.0,f590,WLG FIDELITY BANK
1.0,f591,WLG/FIDELITY BANK
1.0,f592,WLS
1.0,f593,self-financing
1.0,f6,AAAMCO
1.0,f60,BANK OF TUSCALOOSA
1.0,f609195,BUCKEYE STATE CREDIT UNION
3.0,f61,BANK OF UNITED
3.0,f614751,MANHATTAN BANK
1.0,f62,BANK OF VA
1.0,f621580,DOWAGIAC AREA FEDERAL CREDIT UNION
1.0,f63,BANKALTLANTIC
1.0,f633789,WARREN MUNICIPAL FEDERAL CREDIT UNION
1.0,f64,BANKING AND TRUST
1.0,f65,BANKQUE NATIONAL DE PARIS
1.0,f651998,CREDIT UNION ADVANTAGE
1.0,f66,BANKTRUST FINANCIAL CORP
1.0,f67,BARBARA MIROWITZ
1.0,f673570,TANDEM FEDERAL CREDIT UNION
1.0,f68,BARINGS
1.0,f69,BAWAG
1.0,f697286,ODJFS FEDERAL CREDIT UNION
1.0,f699785,TORCH LAKE FEDERAL CREDIT UNION
1.0,f7,AAFMAA MORTGAGE SERVICES LLC
1.0,f70,BAYVIEW ASSET MANAGEMENT LLC
1.0,f71,BAYVIEW OPPORTUNITY CORP
1.0,f715395,"CORPORATE ONE FEDERAL CREDIT UNION, INC."
1.0,f719610,FIRST NATIONAL BANK OF MANCHESTER
2.0,f72,BERKSHIRE BANK
1.0,f73,BETHANY FINANCE
1.0,f730987,WASHTENAW FEDERAL CREDIT UNION
3.0,f733090,WHITEFISH CREDIT UNION ASSOCIATION
2.0,f733661,HATCH BANK
1.0,f737397,SCHOOL EMPLOYEES CREDIT UNION
1.0,f74,BIZFUND
1.0,f75,BLUE OX CREDIT UNION
1.0,f76,BLUE RIDGE BANK
1.0,f764580,CHURCHILL
1.0,f769295,UNITED CHURCHES CREDIT UNION
1.0,f77,BMMZ
3.0,f776985,SAINT ANNS ARLINGTON FEDERAL CREDIT UNION
1.0,f779089,FRANKFORT COMMUNITY FEDERAL CREDIT UNION
1.0,f78,BON
1.0,f79,BOREAL FUNDING
1.0,f793197,ALPENA-ALCONA AREA CREDIT UNION
1.0,f799498,SOUTH CENTRAL CREDIT UNION
3.0,f8,AB
1.0,f80,BOTS
1.0,f81,BREAN ASSET BACKED SECURITIES LLC
1.0,f810991,BELLE RIVER COMMUNITY CREDIT UNION
1.0,f82,BRIDGE BANK
1.0,f83,BRIGHT CAPITAL LLC
1.0,f84,BRIGHTON BANK
1.0,f840895,FARM BUREAU FAMILY CREDIT UNION
1.0,f85,BRISCOEPR
1.0,f852133,NATIONAL BANK OF EARLVILLE
1.0,f85799,ONE DETROIT CREDIT UNION
1.0,f86,BROOKFIELD LIFE ASSURANCE COMPANY LTD
1.0,f861742,"PIONEER STATE BANK FKA STATE BANK OF PAW PAW, ILLINOIS"
1.0,f867285,O.A.S. STAFF FEDERAL CREDIT UNION
2.0,f869980,TRICORP FEDERAL CREDIT UNION
1.0,f87,BSB
3.0,f876876,KC FAIRFAX FEDERAL CREDIT UNION
1.0,f88,BUSINESS BANK
1.0,f89,BUSINESS FIRST BANK
1.0,f891299,UPPER MICHIGAN COMMUNITY CREDIT UNION
1.0,f899295,SAGINAW COUNTY EMPLOYEES CREDIT UNION
1.0,f899987,WSSC FEDERAL CREDIT UNION
1.0,f9,ACB
1.0,f90,BVRT
1.0,f91,BXRT FACO
1.0,f919755,CITIZENS STATE BANK (of OKEMAH) DBA AMERICAN SOUTHWEST MORTGAGE FUNDING CORP
1.0,f92,BXRT SECURITIES
1.0,f924375,INTEGRITY FEDERAL CREDIT UNION
1.0,f93,CADENCE BANK
1.0,f932594,FIRST AREA CREDIT UNION
3.0,f9357,FIDELITY BANK (MINNESOTA)
1.0,f94,CALIBER HOME LOANS
1.0,f947392,PAINESVILLE CREDIT UNION
3.0,f95,CALLIDUS CAPITAL CORPORATION
1.0,f952798,MECU
1.0,f96,CANYON EDGE LLC
1.0,f96580,EXCEL FEDERAL CREDIT UNION
3.0,f968744,FIRST CHOICE BANK
1.0,f97,CAP
1.0,f98,CAPITAL CITY
1.0,f99,CAPITAL CONSULTING SERVICES INC
