date,id_call,charter_type_call,name_legal_call,name_call,org_type_call,fed_district_code_call,city_call,country_call,state_call,fed_regulator2_call,lei_call,parent_id_call,common_id,id,fed_district_code,NONINTEREST-BEARING DEPOSITS (BHC CONSOL. FOREIGN OFC.),INTEREST-BEARING DEPOSITS (BHC CONSOL. U.S. OFC),charter_type,city,country,parent_id,lei,name_legal,name,org_type,fed_regulator,state
20171231.0,326858.0,200.0,"FIRST NATIONAL BANK IN SIOUX FALLS, THE",FIRST NB IN SIOUX FALLS,1.0,9.0,SIOUX FALLS,UNITED STATES,SD,OCC,Q107R4XFOZ6F6K73C488,1126354.0,1126354.0,1126354,9,365475.0,576613.0,500,SIOUX FALLS,UNITED STATES,0,549300F5C4INIKRH1J66,"MINNEHAHA BANSHARES, INC.",MINNEHAHA BSHRS,1,FRS,SD
20171231.0,328777.0,300.0,PENN COMMUNITY BANK,PENN CMNTY BK,1.0,3.0,DOYLESTOWN,UNITED STATES,PA,FDIC,549300L3C3LKXG2XBS96,3200463.0,3200463.0,3200463,3,412003.0,981257.0,500,DOYLESTOWN,UNITED STATES,0,0,PENN COMMUNITY MUTUAL HOLDINGS INC,PENN CMNTY MUT HOLDS,6,FRS,PA
20171231.0,330855.0,200.0,"BANK OF MISSOURI, THE",BANK OF MO,1.0,8.0,PERRYVILLE,UNITED STATES,MO,FDIC,0,1416439.0,1416439.0,1416439,8,295723.0,917680.0,500,PERRYVILLE,UNITED STATES,0,549300J2M0CK8MCJZS35,"RELIABLE COMMUNITY BANCSHARES, INC.",RELIABLE CMNTY BSHRS,1,FRS,MO
20171231.0,894151.0,200.0,MID AMERICA BANK & TRUST COMPANY,MID AMERICA B&TC,1.0,8.0,DIXON,UNITED STATES,MO,FRS,0,1416439.0,1416439.0,1416439,8,295723.0,917680.0,500,PERRYVILLE,UNITED STATES,0,549300J2M0CK8MCJZS35,"RELIABLE COMMUNITY BANCSHARES, INC.",RELIABLE CMNTY BSHRS,1,FRS,MO
20171231.0,339072.0,310.0,"COLONIAL SAVINGS, FA",COLONIAL SVG FA,1.0,11.0,FORT WORTH,UNITED STATES,TX,OCC,549300EMNQ2QLOEPQ289,3821372.0,3821372.0,3821372,11,434146.0,210299.0,500,FORT WORTH,UNITED STATES,0,0,FIRST WESTERN MORTGAGE CORPORATION,FIRST WESTERN MTG CORP,1,FRS,TX
20171231.0,339858.0,200.0,"BOKF, NATIONAL ASSOCIATION",BOKF NA,1.0,10.0,TULSA,UNITED STATES,OK,OCC,FU7RSW4CQQY98A2O7J66,1883693.0,1883693.0,1883693,10,1947966.0,20129429.0,500,TULSA,UNITED STATES,0,GRI2NT5QHYW751NMR949,BOK FINANCIAL CORPORATION,BOK FC,1,FRS,OK
20171231.0,340135.0,200.0,BANK OF TENNESSEE,BANK OF TN,1.0,6.0,KINGSPORT,UNITED STATES,TN,FDIC,549300CTISSNREVLNO46,1135002.0,1135002.0,1135002,6,278259.0,678554.0,500,KINGSPORT,UNITED STATES,0,0,BANCTENN CORP.,BANCTENN CORP,1,FRS,TN
20171231.0,340742.0,200.0,CIBM BANK,CIBM BK,1.0,7.0,CHAMPAIGN,UNITED STATES,IL,FDIC,549300RIPPSJXAQKZ383,1139532.0,1139532.0,1139532,7,70024.0,408609.0,500,WAUKESHA,UNITED STATES,0,0,"CIB MARINE BANCSHARES, INC.",CIB MARINE BSHRS,1,FRS,WI
20171231.0,342410.0,200.0,ORRSTOWN BANK,ORRSTOWN BK,1.0,3.0,SHIPPENSBURG,UNITED STATES,PA,FRS,54930060KLIQD8MMSB55,1248153.0,1248153.0,1248153,3,162588.0,1056927.0,500,SHIPPENSBURG,UNITED STATES,0,0,"ORRSTOWN FINANCIAL SERVICES, INC.",ORRSTOWN FNCL SVC,1,FRS,PA
20171231.0,342634.0,200.0,TRUSTMARK NATIONAL BANK,TRUSTMARK NB,1.0,6.0,JACKSON,UNITED STATES,MS,OCC,01J4SO3XTWZF4PP38209,1079562.0,1079562.0,1079562,6,2978074.0,7599438.0,500,JACKSON,UNITED STATES,0,5493000HPQ4D2RZ79739,TRUSTMARK CORPORATION,TRUSTMARK CORP,1,FRS,MS
