Year,File Type,File Name,Column Name
,LAR,2022_public_lar_one_year_csv.csv,intro_rate_period
,LAR,2022_public_lar_one_year_csv.csv,negative_amortization
,LAR,2022_public_lar_one_year_csv.csv,interest_only_payment
,LAR,2022_public_lar_one_year_csv.csv,balloon_payment
,LAR,2022_public_lar_one_year_csv.csv,other_nonamortizing_features
,LAR,2022_public_lar_one_year_csv.csv,property_value
,LAR,2022_public_lar_one_year_csv.csv,construction_method
,LAR,2022_public_lar_one_year_csv.csv,occupancy_type
,LAR,2022_public_lar_one_year_csv.csv,manufactured_home_secured_property_type
,LAR,2022_public_lar_one_year_csv.csv,manufactured_home_land_property_interest
,LAR,2022_public_lar_one_year_csv.csv,total_units
,LAR,2022_public_lar_one_year_csv.csv,multifamily_affordable_units
,LAR,2022_public_lar_one_year_csv.csv,income
,LAR,2022_public_lar_one_year_csv.csv,debt_to_income_ratio
,LAR,2022_public_lar_one_year_csv.csv,applicant_credit_score_type
,LAR,2022_public_lar_one_year_csv.csv,co_applicant_credit_score_type
,LAR,2022_public_lar_one_year_csv.csv,applicant_ethnicity_1
,LAR,2022_public_lar_one_year_csv.csv,applicant_ethnicity_2
,LAR,2022_public_lar_one_year_csv.csv,applicant_ethnicity_3
,LAR,2022_public_lar_one_year_csv.csv,applicant_ethnicity_4
,LAR,2022_public_lar_one_year_csv.csv,applicant_ethnicity_5
,LAR,2022_public_lar_one_year_csv.csv,co_applicant_ethnicity_1
,LAR,2022_public_lar_one_year_csv.csv,co_applicant_ethnicity_2
,LAR,2022_public_lar_one_year_csv.csv,co_applicant_ethnicity_3
,LAR,2022_public_lar_one_year_csv.csv,co_applicant_ethnicity_4
,LAR,2022_public_lar_one_year_csv.csv,co_applicant_ethnicity_5
,LAR,2022_public_lar_one_year_csv.csv,applicant_ethnicity_observed
,LAR,2022_public_lar_one_year_csv.csv,co_applicant_ethnicity_observed
,LAR,2022_public_lar_one_year_csv.csv,applicant_race_1
,LAR,2022_public_lar_one_year_csv.csv,applicant_race_2
,LAR,2022_public_lar_one_year_csv.csv,applicant_race_3
,LAR,2022_public_lar_one_year_csv.csv,applicant_race_4
,LAR,2022_public_lar_one_year_csv.csv,applicant_race_5
,LAR,2022_public_lar_one_year_csv.csv,co_applicant_race_1
,LAR,2022_public_lar_one_year_csv.csv,co_applicant_race_2
,LAR,2022_public_lar_one_year_csv.csv,co_applicant_race_3
,LAR,2022_public_lar_one_year_csv.csv,co_applicant_race_4
,LAR,2022_public_lar_one_year_csv.csv,co_applicant_race_5
,LAR,2022_public_lar_one_year_csv.csv,applicant_race_observed
,LAR,2022_public_lar_one_year_csv.csv,co_applicant_race_observed
,LAR,2022_public_lar_one_year_csv.csv,applicant_sex
,LAR,2022_public_lar_one_year_csv.csv,co_applicant_sex
,LAR,2022_public_lar_one_year_csv.csv,applicant_sex_observed
,LAR,2022_public_lar_one_year_csv.csv,co_applicant_sex_observed
,LAR,2022_public_lar_one_year_csv.csv,applicant_age
,LAR,2022_public_lar_one_year_csv.csv,co_applicant_age
,LAR,2022_public_lar_one_year_csv.csv,applicant_age_above_62
,LAR,2022_public_lar_one_year_csv.csv,co_applicant_age_above_62
,LAR,2022_public_lar_one_year_csv.csv,submission_of_application
,LAR,2022_public_lar_one_year_csv.csv,initially_payable_to_institution
,LAR,2022_public_lar_one_year_csv.csv,aus_1
,LAR,2022_public_lar_one_year_csv.csv,aus_2
,LAR,2022_public_lar_one_year_csv.csv,aus_3
,LAR,2022_public_lar_one_year_csv.csv,aus_4
,LAR,2022_public_lar_one_year_csv.csv,aus_5
,LAR,2022_public_lar_one_year_csv.csv,denial_reason_1
,LAR,2022_public_lar_one_year_csv.csv,denial_reason_2
,LAR,2022_public_lar_one_year_csv.csv,denial_reason_3
,LAR,2022_public_lar_one_year_csv.csv,denial_reason_4
,LAR,2022_public_lar_one_year_csv.csv,tract_population
,LAR,2022_public_lar_one_year_csv.csv,tract_minority_population_percent
,LAR,2022_public_lar_one_year_csv.csv,ffiec_msa_md_median_family_income
,LAR,2022_public_lar_one_year_csv.csv,tract_to_msa_income_percentage
,LAR,2022_public_lar_one_year_csv.csv,tract_owner_occupied_units
,LAR,2022_public_lar_one_year_csv.csv,tract_one_to_four_family_homes
,LAR,2022_public_lar_one_year_csv.csv,tract_median_age_of_housing_units
,TS,hmda_2015_transmittal_sheet.csv,Activity Year
,TS,hmda_2015_transmittal_sheet.csv,Respondent ID
,TS,hmda_2015_transmittal_sheet.csv,Agency Code
,TS,hmda_2015_transmittal_sheet.csv,Federal Tax ID
,TS,hmda_2015_transmittal_sheet.csv,Respondent Name
,TS,hmda_2015_transmittal_sheet.csv,Respondent Mailing Address
,TS,hmda_2015_transmittal_sheet.csv,Respondent City
,TS,hmda_2015_transmittal_sheet.csv,Respondent State
,TS,hmda_2015_transmittal_sheet.csv,Respondent ZIP Code
,TS,hmda_2015_transmittal_sheet.csv,Parent Name
,TS,hmda_2015_transmittal_sheet.csv,Parent Address
,TS,hmda_2015_transmittal_sheet.csv,Parent City
,TS,hmda_2015_transmittal_sheet.csv,Parent State
,TS,hmda_2015_transmittal_sheet.csv,Parent ZIP Code
,TS,hmda_2015_transmittal_sheet.csv,Respondent Name (Panel)
,TS,hmda_2015_transmittal_sheet.csv,Respondent City (Panel)
,TS,hmda_2015_transmittal_sheet.csv,Respondent State (Panel)
,TS,hmda_2015_transmittal_sheet.csv,Assets
