activity_year_x,upper,tax_id,agency_code_x,id_2017,respondent_rssd,respondent_name_x,respondent_state_x,respondent_city_x,assets,other_lender_code,parent_rssd,parent_name,topholder_rssd,topholder_name,activity_year_y,calendar_quarter,lei,agency_code_y,respondent_name_y,respondent_state_y,respondent_city_y,respondent_zip_code,lar_count
2021,213800XR2TCBQJSF1X93,48-1213018,3,2747587,2747587,NBKC BANK,KS,KANSAS,833228,0,2772990,,2772990,AMERI-NATIONAL CORPORATION,2021,4,213800XR2TCBQJSF1X93,3,NBKC BANK,MO,KANSAS CITY,64114,32265
2021,549300SE1WZDU07WPD35,04-1859290,5,147099,147099,GREATER SPRINGFIELD CREDIT UNION,MA,Springfield,180047,0,-1,,-1,,2021,4,549300SE1WZDU07WPD35,5,Greater Springfield Credit Union,MA,Springfield,01109,261
2021,549300D9ZODKN6CVV913,39-0477300,5,540896,540896,PRIME FINANCIAL CREDIT UNION,WI,Cudahy,113321,0,-1,,-1,,2021,4,549300D9ZODKN6CVV913,5,PRIME FINANCIAL CREDIT UNION,WI,CUDAHY,53110,514
2021,549300W2W119ZBFOWS21,81-0289023,5,655884,655884,CLEARWATER Federal Credit Union,MT,Missoula,564404,0,-1,,-1,,2021,4,549300W2W119ZBFOWS21,5,CLEARWATER FEDERAL CREDIT UNION,MT,MISSOULA,59801,677
2021,54930065Z1DW0CWIZQ58,86-0108241,5,440688,440688,CREDIT UNION WEST,AZ,Glendale,772531,0,-1,,-1,,2021,4,54930065Z1DW0CWIZQ58,5,Credit Union West,AZ,Glendale,85312,1656
2021,549300KZVNU4UKZSWD59,34-0796290,5,678678,678678,CANTON SCHOOL EMPLOYEES,OH,Canton,276065,0,-1,,-1,,2021,4,549300KZVNU4UKZSWD59,5,CANTON SCHOOL EMPLOYEES FCU,OH,CANTON,44714,285
2021,549300SY7D44QB2JV602,55-0758723,3,2692753,2692753,"Premier Bank, Inc.",WV,Huntington,1221060,0,2007647,,2007647,"PREMIER FINANCIAL BANCORP, INC.",2021,4,549300SY7D44QB2JV602,3,Premier Bank Inc,OH,Marietta,45750,285
2021,5493003JBN8UEVOU8O42,72-0649178,5,529994,529994,JEFFERSON FINANCIAL,LA,Metairie,882183,0,-1,,-1,,2021,4,5493003JBN8UEVOU8O42,5,JEFFERSON FINANCIAL FCU,LA,METAIRIE,70003,334
2021,254900MRUZFHXLEPLR52,91-0689235,5,419282,419282,People's Community Federal Credit Union,WA,Vancouver,221331,0,-1,,-1,,2021,4,254900MRUZFHXLEPLR52,5,People's Community FCU,WA,Vancouver,98666-0764,57
2021,254900WRP19TBSQG0Z89,41-0250840,3,806958,806958,Midwest Bank,MN,Detroit Lakes,527460,0,1125580,,1125580,"MIDWEST BANK GROUP, INC.",2021,4,254900WRP19TBSQG0Z89,3,Midwest Bank,MN,Detroit Lakes,56501,416
2021,549300Q6TVHCCFZ5R384,95-1654362,5,439477,439477,UME FEDERAL CREDIT UNION,CA,Burbank,238570,0,-1,,-1,,2021,4,549300Q6TVHCCFZ5R384,5,UMe Federal Credit Union,CA,Burbank,91505,121
2021,549300N3HTAM5X2VWB62,83-0173720,5,617583,617583,WHITE CROWN FEDERAL CREDIT UNION,CO,Denver,61506,0,-1,,-1,,2021,4,549300N3HTAM5X2VWB62,5,White Crown Federal Credit Union,CO,DENVER,80202,19
2021,5493002AZUZUDBY8ZU75,04-2162282,5,877378,877378,TAUNTON FEDERAL CREDIT UNION,MA,Taunton,184444,0,-1,,-1,,2021,4,5493002AZUZUDBY8ZU75,5,Taunton Federal Credit Union,MA,Taunton,02780,215
2021,549300HTKHBMJL4D9734,62-0575774,5,455299,455299,CORNERSTONE FINANCIAL CREDIT UNION,TN,Nashville,416692,0,-1,,-1,,2021,4,549300HTKHBMJL4D9734,5,CORNERSTONE FINANCIAL CREDIT U,TN,NASHVILLE,37212,214
2021,5493004U68X0X5LVHY72,72-0840853,5,4697,4697,RIVERLAND FEDERAL CREDIT UNION,LA,New Orleans,268904,0,-1,,-1,,2021,4,5493004U68X0X5LVHY72,5,RIVERLAND FEDERAL CREDIT UNION,LA,NEW ORLEANS,70113,136
2021,5493005LNO5N4F760786,94-0475380,3,783161,783161,First Northern Bank of Dixon,CA,Dixon,1292591,0,2880626,,2880626,FIRST NORTHERN COMMUNITY BANCORP,2021,4,5493005LNO5N4F760786,3,FIRST NORTHERN BANK OF DIXON,CA,DIXON,95620,433
2021,549300HNL0XN9S0MZM92,13-3394770,7,3872347,3872347,EQUITY NOW INC.,NY,NEW YORK,-1,3,-1,,-1,,2021,4,549300HNL0XN9S0MZM92,7,Equity Now Inc,NY,Mamaroneck,10543,1048
2021,549300H0IFPIJWI3KL08,63-0039180,2,353238,353238,Central State Bank,AL,Calera,330753,0,1084593,,1084593,CENTRAL STATE BANCORPORATION,2021,4,549300H0IFPIJWI3KL08,2,CENTRAL STATE BANK,AL,CALERA,35040,164
2021,5493001AGQGPJ3N3YL33,57-0762987,5,549291,549291,FOUNDERS FEDERAL CREDIT UNION,SC,Lancaster,2653556,0,-1,,-1,,2021,4,5493001AGQGPJ3N3YL33,5,Founders Federal Credit Union,SC,Lancaster,29720,5326
2021,549300CA0J0Z7OFQBG71,06-0655052,5,523871,523871,CONNEX CREDIT UNION,CT,North Haven,713890,0,-1,,-1,,2021,4,549300CA0J0Z7OFQBG71,5,CONNEX CREDIT UNION,CT,NORTH HAVEN,06473,826
2021,549300BB8TE7SXIUJI50,42-0664060,5,286895,286895,GREATER IOWA CREDIT UNION,IA,Ames,537721,0,-1,,-1,,2021,4,549300BB8TE7SXIUJI50,5,Greater Iowa Credit Union,IA,Ames,50010,746
2021,254900TBJSIXN1M7S968,46-2418620,7,46-2418620,-1,"FJM PRIVATE MORTGAGE FUND, LLC",CA,Petaluma,-1,3,-1,,-1,,2021,4,254900TBJSIXN1M7S968,7,"FJM Private Mortgage Fund, LLC",CA,Petaluma,94954,203
2021,549300UN8J4H5P8XWP62,04-1731230,3,1000276,1000276,The Pittsfield Co-operative Bank,MA,Pittsfield,321823,0,-1,,-1,,2021,4,549300UN8J4H5P8XWP62,3,PITTSFIELD COOPERATIVE BANK,MA,PITTSFIELD,01201,198
2021,549300D2MZZVH30ENJ10,35-2195549,7,4437510,4437510,"HAMILTON HOME LOANS, INC.",FL,SUNRISE,-1,3,-1,,-1,,2021,4,549300D2MZZVH30ENJ10,7,"Hamilton Home Loans, INC",FL,Sunrise,33323,7948
2021,549300GLDL4X3U4RFI74,63-0421006,5,612784,612784,Guardian Credit Union,AL,Montgomery,574065,0,-1,,-1,,2021,4,549300GLDL4X3U4RFI74,5,Guardian Credit Union,AL,Montgomery,36104,1378
2021,549300JHSXRPXKX47M78,82-3388360,7,,-1,"ACCELERATE MORTGAGE, LLC",DE,DOVER,-1,3,-1,,-1,,2021,4,549300JHSXRPXKX47M78,7,"Accelerate Mortgage, LLC",DE,Newark,19713,4262
2021,549300I43FC7P0IJMR13,33-0842784,7,,-1,"LOANLEADERS OF AMERICA, INC.",CA,IRVINE,-1,3,-1,,-1,,2021,4,549300I43FC7P0IJMR13,7,"Loanleaders of America, Inc",CA,Irvine,92614,1702
2021,54930063XGNMIXS57091,23-1343988,5,945978,945978,POLICE & FIRE,PA,Philadelphia,5628622,0,-1,,-1,,2021,4,54930063XGNMIXS57091,5,POLICE AND FIRE FEDERAL CREDIT UNION,PA,3333 STREET ROAD,19020,19220
2021,254900OD9TDRYGWJ0N48,46-0177437,1,355858,355858,First National Bank,SD,Ft. Pierre,1330030,0,1127294,,1127294,"CAPITOL BANCORPORATION, INC.",2021,4,254900OD9TDRYGWJ0N48,1,FIRST NATIONAL BANK,SD,PIERRE,57501,726
