activity_year_x,lei,tax_id,agency_code_x,id_2017,respondent_rssd,respondent_name_x,respondent_state_x,respondent_city_x,assets,other_lender_code,parent_rssd,parent_name,topholder_rssd,topholder_name,activity_year_y,calendar_quarter,agency_code_y,respondent_name_y,respondent_state_y,respondent_city_y,respondent_zip_code,lar_count
2023,549300E1PJPTI4YS7H26,62-0527850,5,290986,290986,ASCEND FEDERAL CREDIT UNION,TN,Tullahoma,3874614,0,-1,,-1,,2023,4,5,ASCEND FEDERAL CREDIT UNION,TN,TULLAHOMA,37388,3014
2023,213800XA5M2HOWATHG59,35-0482724,3,176642,176642,LNB COMMUNITY BANK,IN,LYNNVILLE,154151,0,2807007,LNB COMMUNITY BANCORP                                                                                                   ,2807007,LNB COMMUNITY BANCORP                                                                                                   ,2023,4,3,LNB COMMUNITY BANK,IN,LYNNVILLE,47619,208
2023,549300DQMFK1KT7KEB48,03-0365685,3,2947369,2947369,"NORTHEAST HOME LOAN, LLC",VT,ST JOHNSBURY,-1,1,-1,,2337081,PASSUMPSIC BANCORP                                                                                                      ,2023,4,3,"NORTHEAST HOME LOAN, LLC",NH,WEST CHESTERFIELD,03466,727
2023,549300EMNDEK4BA8WB53,54-2070914,7,4187235,4187235,EMM LOANS LLC,NJ,Cherry Hill,-1,3,-1,,-1,,2023,4,7,EMM Loans LLC,NJ,Cherry Hill,08003,6069
2023,549300EQ09ZL8XSYZM84,04-1853350,3,1002373,1002373,Savers Co-operative Bank,MA,Southbridge,689291,0,-1,,-1,,2023,4,3,SAVERS COOPERATIVE BANK,MA,SOUTHBRIDGE,01550,100
2023,549300IKHG1VE7RH9P70,44-0456185,3,,717670,Systematic Savings Bank,MO,Springfield,56317,0,-1,,-1,,2023,4,3,Systematic Savings Bank,MO,Springfield,65806,17
2023,549300EFPV2U3PWQEN15,14-1765466,3,,2132594,Catskill Hudson Bank,NY,Monticello,576539,0,3443998,"CATSKILL HUDSON BANCORP, INC.",3443998,"CATSKILL HUDSON BANCORP, INC.",2023,4,3,CATSKILL HUDSON BANK,NY,KINGSTON,12401,132
2023,549300DYVAMYTMH9UV09,36-3318512,2,759045,759045,"FIRST EAGLE BANCSHARES, INC.",DE,WILMINGTON,573144,0,1492956,"FIRST EAGLE BANCSHARES, INC.                                                                                            ",1492956,"FIRST EAGLE BANCSHARES, INC.                                                                                            ",2023,4,2,First Eagle Bank,IL,Hanover Park,60133,84
2023,549300E51HYVR7T2SU19,95-1184903,5,301190,301190,SAN DIEGO COUNTY CREDIT UNION,CA,San Diego,11238527,0,-1,,-1,,2023,4,5,SAN DIEGO COUNTY CREDIT UNION,CA,SAN DIEGO,92121,1779
2023,549300E3UCOTNUZIEB53,23-3102809,3,857811,857811,Mauch Chunk Trust Company,PA,Jim Thorpe,610305,0,3045011,MAUCH CHUNK TRUST FINANCIAL CORP.,3045011,MAUCH CHUNK TRUST FINANCIAL CORP.,2023,4,3,MAUCH CHUNK TRUST COMPANY,PA,JIM THORPE,18229,174
2023,549300E8JTSHNU1K4K92,73-0177595,1,634955,634955,The First National Bank and Trust Company of Okmulgee,OK,Okmulgee,285441,0,1056330,FIRST OKMULGEE CORPORATION                                                                                              ,1056330,FIRST OKMULGEE CORPORATION                                                                                              ,2023,4,1,First National Bank & Trust Co of Okmulgee,OK,Okmulgee,74447,129
2023,549300E05TZE9VHI0I91,35-0631260,1,857875,857875,"Mid-Southern Savings Bank, FSB",IN,Salem,268858,0,5213074,"MID-SOUTHERN BANCORP, INC",5213074,"MID-SOUTHERN BANCORP, INC",2023,4,1,Mid-Southern Savings Bank,IN,Salem,47167,82
2023,549300EIBXII5C4D4548,94-1175535,5,613875,613875,TULARE COUNTY Federal Credit Union,CA,Tulare,137317,0,-1,,-1,,2023,4,5,TULARE COUNTY FEDERAL CREDIT UNION,CA,Tulare,93274,109
2023,549300DU662K57XBSH20,62-0630690,5,317397,317397,Memphis City Employees Credit Union,TN,Memphis,442391,0,-1,,-1,,2023,4,5,Memphis City Employees Credit Union,TN,Memphis,38115,181
2023,2549000C5KZ15Q2U9V68,42-0335310,2,952846,952846,BANK,IA,Wapello,115303,0,1205156,MORNING SUN BANK CORP.                                                                                                  ,1205156,MORNING SUN BANK CORP.                                                                                                  ,2023,4,2,BANK,IA,Wapello,52653,163
2023,549300DU4JZVSGF3G964,91-0168460,3,574976,574976,Cashmere Valley Bank,WA,Cashmere,2087762,0,-1,,-1,,2023,4,3,CASHMERE VALLEY BANK,WA,CASHMERE,98815,133
2023,549300DV4OQK0LOKRQ05,58-0193025,1,774235,774235,The Citizens National Bank of Quitman,GA,Quitman,130158,0,3839340,"LOWNDES BANCSHARES, INC.",3839340,"LOWNDES BANCSHARES, INC.",2023,4,1,The Citizens National Bank of Quitman,GA,Quitman,31643,43
2023,549300EL87GZMCVX0Q34,26-4803398,7,5163067,5163067,"BOND STREET MORTGAGE, LLC",DE,WILMINGTON,-1,3,-1,,-1,,2023,4,7,"Bond Street Mortgage, LLC",NJ,Paramus,07652,916
2023,549300DXF2FQC64H6G42,38-1569911,5,671996,671996,Zeal Credit Union,MI,Livonia,831209,0,-1,,-1,,2023,4,5,Zeal CU,MI,Livonia,48152,348
2023,549300EBDJ0OSO5L7O79,34-0928469,5,22691,22691,"ASSOCIATED SCHOOL EMPLOYEES CREDIT UNION, INC.",OH,YOUNGSTOWN,184208,0,-1,,-1,,2023,4,5,ASSOCIATED SCHOOL EMPLOYEES CREDIT UNION,OH,Youngstown,44515,32
2023,549300EM6UG8HE3P8U74,94-0755684,5,461496,461496,Patelco Credit Union,CA,Dublin,9073691,0,-1,,-1,,2023,4,5,PATELCO CREDIT UNION,CA,DUBLIN,94568,4542
2023,2549001R901BOUXDJQ68,64-0116890,3,835743,835743,Bank of Holly Springs,MS,Holly Springs,474842,0,2590644,HOLLY SPRINGS BANCSHARES INC                                                                                            ,2590644,HOLLY SPRINGS BANCSHARES INC                                                                                            ,2023,4,3,Bank of Holly Springs,MS,Holly Springs,38635,287
