idrssd,year,bank_name,assets_c,tier1_capital_c,total_loans_c
407850,2022,Farmers State Bank,23145,3400,0
408307,2022,Athol Savings Bank,554362,70219,0
408642,2022,Bankers Bank,1432330,135233,45097
408875,2022,Axiom Bank,641060,87295,0
409265,2022,SPUR SECURITY BANK,53721,5594,0
410159,2022,ANDES STATE BANK,27663,2720,0
410560,2022,First State Bank,311855,33345,93
410748,2022,Bank Of O'fallon,388381,47343,0
410917,2022,CITIZENS NATIONAL BANK,616204,50247,0
410944,2022,Citizens Bank,60967,4757,0
411062,2022,THE FIRST NATIONAL BANK,231469,18711,0
411174,2022,First Federal Savings and Loan Association,36185,9999,0
411231,2022,Brantley Bank & Trust Company,107664,11473,0
411240,2022,"Old Exchange National Bank Of Okawville, The",89799,8834,0
411512,2022,Centric Bank,983163,110538,0
411549,2022,Table Grove State Bank,51246,5889,0
411576,2022,Mayville Savings Bank,77767,8060,0
411624,2022,Somerville Bank,259717,23509,1534
411651,2022,Farmers & Merchants State Bank,178425,22022,0
412153,2022,Nebraska State Bank And Trust Company,292604,27834,0
412452,2022,Community Bank Of Oklahoma,92406,6564,0
412555,2022,SJN Bank of Kansas,224943,19924,0
412667,2022,Sundown State Bank,223774,19983,0
412751,2022,Woodforest National Bank,8635354,724542,0
412845,2022,First National Bank In Olney,423572,43332,0
412872,2022,Farmers And Mechanics Federal Savings Bank,111658,11608,0
413141,2022,First National Bank Of America,3310189,299427,0
413208,2022,HSBC Bank USA N.A.,187956756,20165475,4217466
413347,2022,First State Bank Of Olmsted,64123,7635,0
413543,2022,Citizens State Bank,174624,18899,0
413646,2022,"First Neighbor Bank, National Association",555990,52049,2471
413673,2022,F&M Bank and Trust Company,162033,15333,1019
413758,2022,Brunswick State Bank,150905,13211,0
414102,2022,Alden State Bank,442932,51354,0
414652,2022,FIRST NATIONAL BANK,162698,17044,0
414764,2022,TEXAS BANK,702345,65372,0
414858,2022,"Incommons Bank, National Association",219674,17819,0
415770,2022,Tempo Bank,91383,9753,0
416245,2022,Busey Bank,12827680,1241303,23875
416272,2022,Abbeville First Bank,101496,9061,0
416339,2022,First Security Bank,115038,10020,89
416357,2022,Chambers State Bank,71349,17492,0
416656,2022,Welch State Bank,360835,36296,0
416674,2022,"KS BANK, INC",570974,46743,0
417626,2022,Putnam County Bank,677045,95060,0
417710,2022,"Pinnacle Bank, Inc.",53304,7508,0
418100,2022,SEAMEN'S BANK,557214,46319,0
418249,2022,The Security National Bank of Sioux City Iowa,1461478,137184,823
418436,2022,Peoples Bank Of Macon,26040,2877,0
418856,2022,The State Bank Of Spring Hill,65299,3976,0
419406,2022,Bangor Savings Bank,6909051,487975,32373
419460,2022,CapTex Bank,276095,34787,0
419675,2022,First Bank Richmond,1264471,157481,558
419947,2022,The Hill-Dodge Banking Company,57738,6474,0
420578,2022,Saint Landry Homestead Federal Savings Bank,273811,77819,0
420644,2022,The Peoples Community Bank,381634,41197,1351
420653,2022,VALLEY STATE BANK,194982,18606,0
420877,2022,FIRST FIDELITY BANK,140608,11683,0
421445,2022,First National Bank of Raymond,175525,17517,0
421539,2022,First Peoples Bank of Tennessee,208679,16679,0
422059,2022,KansasLand Bank,54645,4970,0
422116,2022,Bank of the Mountains,87152,8514,0
422433,2022,First Guaranty Bank,2874343,243973,0
422657,2022,Security First National Bank Of Hugo,136383,11381,0
423159,2022,Mccurtain County National Bank,350845,39610,0
423449,2022,"The Farmers Bank, Frankfort, Indiana, Inc.",768088,76902,1227
423636,2022,UBANK,88203,13798,0
423739,2022,Morris Bank,1406649,151919,2640
424156,2022,Stockgrowers State Bank,170951,20043,0
424240,2022,Citizens First National Bank,257607,23917,0
424352,2022,ANAHUAC NATIONAL BANK,299728,24013,0
424437,2022,campus state bank,24156,2500,0
424633,2022,Wilcox County State Bank,143697,14858,0
425050,2022,Farmers and Merchants State Bank,35548,3269,0
425108,2022,Rondout Savings Bank,467319,46691,1352
425818,2022,United Cumberland Bank,379079,43268,0
425845,2022,Security State Bank,268983,30575,0
425911,2022,Ephrata National Bank,1715230,148735,3194
426057,2022,Spectra Bank,91460,4327,0
426141,2022,First State Bank Of St. Peter,34299,5130,0
426534,2022,Heartland Bank and Trust,4311088,428226,4942
426758,2022,Bank Of Salem,126803,11080,0
426945,2022,BANK OF MILTON,184786,15498,143
427241,2022,The Friendship State Bank,543637,43733,0
427353,2022,FIRSTAR BANK,806427,64316,8960
427858,2022,Evergreen National Bank,156919,12110,0
427960,2022,Twin River Bank,140430,11561,379
428060,2022,Central National Bank,1287555,102024,192
428462,2022,IRELAND BANK,356147,31725,0
428547,2022,"St. Charles Bank & Trust Company, N.A.",1937584,174516,0
428855,2022,The Seymour Bank,216273,20844,0
429021,2022,QUEENSTOWN BANK OF MARYLAND,658073,71971,0
429487,2022,Sound Community Bank,919800,99973,3094
430036,2022,Robertson Banking Company,412189,36507,0
430054,2022,Main Bank,252589,19943,0
430344,2022,Community Bank,258028,37440,0
431172,2022,Pacific Premier Bank,21088887,2324626,10869
431323,2022,The Peoples National Bank,191660,13707,0
431350,2022,The Bank of Commerce and Trust Company,102235,8351,0
432058,2022,FREEDOM BANK (FKA) BRUSH COUNTRY BANK,94849,7930,0
432432,2022,Phenix-Girard Bank,285239,36019,577
433505,2022,Bath Savings Institution,1229908,182217,2125
433550,2022,Bank of Ripley,291602,36738,0
433608,2022,Tompkins Trust Company,2453893,207632,205
433859,2022,Fowler State Bank,116405,14862,0
433943,2022,Washington State Bank,484091,48321,257
434203,2022,"First Hope Bank, A National Banking Association",710676,53481,1766
434539,2022,F&M BANK,322913,33534,0
435059,2022,Ennis State Bank,324209,28779,2070
435077,2022,"MetaBank, N.A.",7615596,569174,36182
435255,2022,Security State Bank,292349,25985,0
435666,2022,Security Bank Of Crawford,108598,9361,0
435750,2022,FIRST STATE BANK,1609236,127204,8055
436159,2022,Firstbank,12582271,1213700,752223
436542,2022,Waukon State Bank,376389,37867,152
436739,2022,"BankChampaign, N.A.",266141,25595,0
436953,2022,Sullivan Bank,773119,67393,398
437044,2022,THE WATKINS SAVINGS BANK,83663,12812,0
437914,2022,Wilmington Savings Fund Society,15742039,1557142,113349
438434,2022,The Citizens Bank of Fayette,206835,15562,0
439132,2022,GLENNVILLE BANK,361461,33580,0
439338,2022,United Community Bank,3479391,279900,14768
439356,2022,ELKHORN VALLEY BANK & TRUST,962138,114327,375
439404,2022,First National Bank,2496194,214925,835
439730,2022,State Bank of Bement,123282,12152,0
440857,2022,America's Community Bank,38500,3970,0
440978,2022,Kingstree Federal Savings And Loan Association,40817,5948,0
441050,2022,FALLS CITY NATIONAL BANK,529260,59168,0
441078,2022,Community Partners Savings Bank,240750,26114,0
441135,2022,Citizens Bank of Chatsworth,42466,4833,0
441256,2022,First Dakota National Bank,2449188,215322,3881
441359,2022,MARIES COUNTY BANK,571556,81694,115
441470,2022,First Federal Savings And Loan Association,26302,2376,0
441630,2022,Bank of Dade,147906,13743,0
442011,2022,Generations Bank,378454,41287,0
442057,2022,The Citizens State Bank   Trust Co,65890,6088,0
442244,2022,Northeast Security Bank,441142,46710,0
442655,2022,The First National Bank In Falfurrias,83897,7697,0
443148,2022,Bippus State Bank,271336,29093,1259
443205,2022,Union Savings Bank,3088187,318832,1267
443353,2022,Unity Bank,593196,50514,0
443625,2022,The Ottoville Bank Company,88872,17741,0
443634,2022,Scott State Bank,200956,26165,192
444350,2022,FIRST TEXAS BANK - GEORGETOWN,955687,75222,0
444556,2022,Points West Community Bank,833535,74977,0
444677,2022,"Black Mountain Savings Bank, Ssb",43766,5251,0
445674,2022,Pioneer Federal Savings & Loan Association,108915,17615,0
445955,2022,First National Bank of East Texas,489007,47078,0
446130,2022,Farmers And Merchants Bank,260888,26355,0
446149,2022,"Peoples Bank, The",108509,9861,0
446176,2022,Fidelity Federal Savings And Loan Association Of Delaware,133839,23096,0
446877,2022,McHenry Savings Bank,279826,24935,0
447070,2022,Hoyne Savings Bank,526207,91320,0
447100,2022,Cornerstone Bank,1449179,123012,0
447557,2022,Citizens State Bank of La Crosse,451795,40290,183
448040,2022,Oxford Bank,750741,74124,0
448554,2022,SAGE CAPITAL BANK,607143,54450,0
449038,2022,"Citicorp Trust Delaware, National Association",24685,23469,0
449430,2022,22Nd State Bank,201632,21357,0
449832,2022,MARION BANK AND TRUST COMPANY,313395,30552,0
449935,2022,Country Trust Bank,32769,28205,0
450632,2022,First National Community Bank,598528,56676,624
450669,2022,The First National Bank of Ely,144406,14068,0
450753,2022,Fayetteville Bank,719258,73511,0
450856,2022,Union Bank And Trust Company,6586972,600082,20952
450959,2022,Security Financial Bank,863797,71753,1531
451068,2022,2110,778220,65511,2311
451246,2022,Wayne Bank And Trust Co.,207117,21223,585
451273,2022,Geddes Federal Savings And Loan Association,601636,95018,0
451965,2022,"Wells Fargo Bank, National Association",1779504000,149318000,20154000
452159,2022,American Bank And Trust Company,310005,34198,0
452739,2022,The Claxton Bank,148442,14522,0
452841,2022,SPRING VALLEY CITY BANK,231801,29502,0
453147,2022,BANNER BANKS,125948,13174,0
453446,2022,EAGLE BANK AND TRUST COMPANY,502207,69726,49746
453839,2022,First State Bank Of Bloomington,163556,12072,567
454546,2022,The Peoples State Bank,426112,41452,1347
454658,2022,The Pauls Valley National Bank,317781,28828,0
454676,2022,BankFinancial NA,1699770,165599,0
454975,2022,Massena Savings And Loan,178765,23893,0
455150,2022,The Payne County Bank,213546,34466,0
455253,2022,5STAR BANK,414074,46964,0
455459,2022,Fort Davis State Bank,117904,9186,0
455552,2022,Farmers And Merchants Bank,901018,88505,0
455945,2022,Bank of Delight,166201,20231,0
455972,2022,Peoples Bank,2815737,253228,10195
456045,2022,Centennial Bank 0275,18017667,1859093,72734
456054,2022,Minden Exchange Bank & Trust Company,177484,32501,0
456250,2022,Bank Of Saint Elizabeth,215383,19784,375
456344,2022,Hart County Bank And Trust Company,32188,7162,0
456755,2022,Exchange Bank and Trust Company,375334,36358,192
457060,2022,SPRING HILL STATE BANK,231707,28454,0
457220,2022,The Farmers Savings Bank,324598,75681,0
457426,2022,ENTERPRISE BANK OF SC,450605,36514,0
457752,2022,Coulee Bank,486230,41083,0
458142,2022,HORATIO STATE BANK,242780,30930,0
458544,2022,First Service Bank,489247,52595,1303
458665,2022,The First National Bank Of Stanton,333192,27113,0
458946,2022,Bank of Cashton,123109,13569,0
459130,2022,Gulf Coast Bank,542756,63703,0
459354,2022,THE CENTRAL NATIONAL BANK OF POTEAU,346105,33688,0
459372,2022,UNITED SAVINGS BANK,439297,64900,0
459644,2022,First Community Bank of Moultrie County,110126,9554,0
459671,2022,Manasquan Bank,2660419,228238,0
460033,2022,COMMUNITY BANK OF MISSISSIPPI,4444664,344082,15281
460275,2022,Second Federal Savings   Loan Association of Philadelph,27519,5922,0
460332,2022,Municipal Trust And Savings Bank,356550,52557,5
460350,2022,FIRST SECURITY BANK,74392,6275,0
460556,2022,The State National Bank Of Groom,41036,4381,0
460770,2022,Home Savings Bank,113207,17727,0
461058,2022,Farmers State Bank,182128,13835,0
463203,2022,Brunswick Bank and Trust Company,372096,43819,0
463342,2022,Wisconsin Bank & Trust,1224689,114825,0
463605,2022,PEOPLES TRUST COMPANY OF ST. ALBANS,381803,36729,0
463650,2022,Adams Bank & Trust,1181623,108657,2765
